id,image,name,old_price,new_price,category,save
33,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/corasore-oral-drops-150mgml-15ml-chtu-01697471179.png,Corasore | oral drops | 150mg/ml | 15ml,,Low,medication,
34,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/femogesal-contraceptive-21tab-kvkb-01666259109.png,Femogesal | Contraceptive | 21 Tab,,58,medication,
35,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1628166110erec-sexual-problems-100mg-12-tabs-chefaapng,Erec | Sexual Problems | 100mg | 12 Tabs,,100.5,medication,
36,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/tineacure-1-cream-20gm-yaq0-01668926333.png,Tineacure 1% | Cream | 20gm,,13,medication,
37,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1621086591tempo-cool-infant-fever-gel-cooling-4-sheet-chefaajpg,Tempo Cool | Infant Fever Gel Cooling | 4 Sheet,,38,medication,
38,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1622986718hero-baby-nutradefense-2-milk-400gm-chefaapng,Hero Baby | Nutradefense 2 Milk | 400gm,,234,medication,
39,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/ferroduonal-30-cap-wyo9-01670683844.png,Ferroduonal | 30Cap,,48,medication,
40,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1622985505hero-baby-1-milk-400gm-chefaapng,Hero Baby 1 Milk | 400gm,,169,medication,
41,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/psychopram-10-mg-30-f-c-tablet-lpdw-01698567087.png,Psychopram | 10mg | 30 Tabs,,48,medication,
42,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/triactin-appetizing-4mg-20tab-yzlf-01665674149.png,Triactin | Appetizing | 4 mg | 20 Tab,,30,medication,
43,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/solofresh-eye-drops-10ml-01675249184.png,Solofresh | Eye Lubricant Drops | 10ml,,48,medication,
44,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/oplex-n-syrup-125-ml-zrp5-01692114637.png,Oplex-N | Syrup | 125ml,,19,medication,
45,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/adol-sinus-24-caplets-4zti-01678612271.png,Adol | 500mg | 24 Caplets,,16,medication,
46,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/ezamol-c-20-tab-hk5k-01668008271.png,Ezamol - C | 30mg | 20 Tablet,,14,medication,
47,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/farcolin-resp-solution-20-ml-zjnn-01668014581.png,Farcolin | 0.121 Gm | 20 Ml,,20.5,medication,
48,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/janumet-diabetics-501000mg-56tab-xep8-01673796193.png,Janumet | Type 2 Diabetes 50/1000mg | 56 Tabs,,Low,medication,
49,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/trittico-100-mg-20-tab-09ym-01673526486.png,Trittico | 100 Mg | 20 Tablet,,43,medication,
50,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/mirtimash-30-mg-30-tab-er66-01668347918.png,Mirtimash | 30mg | 30 tablet,,130.5,medication,
51,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/cipramax-40-mg-10-tab-kxdv-01668357052.png,Cipramax | 40mg | 10 Tablet,,50,medication,
52,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/trileptal-300-mg-50-tab-lm7a-01668359279.png,Trileptal | 300mg | 50 tablet,,148.5,medication,
53,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/betafucin-cream-15gm-yklx-01668388862.png,Betafucin | Cream | 15gm,,16.5,medication,
54,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/dimra-20-tab-qb9a-01668517109.png,Dimra | 20 tablet,,54,medication,
55,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/azi-once-antibiotic-250mg-6cap-v2fd-1644196244.png,Azi Once | Antibiotic | 250 mg | 6 Cap,,33,medication,
56,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/nevilob-5mg-21tab-bipm-01692021157.png,Nevilob | 5mg | 21 Tabs,,73.5,medication,
57,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/milga-advance-30tab-wqzn-11690285660.png,Milga | Advance | 30 Tabs,,100.5,medication,
58,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/fucidin-2-cream-30gm-ywxq-01668991432.png,Fucidin 2% | Cream | 30gm,,53,medication,
59,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/carbamide-cream-50-gm-01675179441.png,Carbamide | Urea 0.1gm/gm Topical Cream | 30gm,,25,medication,
60,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/fusiderm-2-oint-15gm-4tkj-01668998088.png,Fusiderm 2% | Oint | 15gm,,19.5,medication,
61,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/triplixam-51255mg-15tab-knkk-01686489006.png,Triplixam | 5/1.25/5Mg | 15Tab,,95,medication,
62,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/tadalong-20-mg-4-tab-7bzl-01675344300.png,Tadalong | Tadalafil 20mg | 4 Tabs,,60,medication,
63,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/librax-30tab-ev3d-1641155907.png,Librax | 30 Tab,,33,medication,
64,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/gast-regv-200mg-30tabs-wlmx-1641156365.png,Gast Reg | 200mg | 30 Tabs,,54,medication,
65,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/fawar-fruit-6effervescent-sachets-o1kw-01671445157.png,Fawar Fruit | 6 Effervescent Sachets,,15,medication,
66,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1626264595polyfresh-eye-drops-10ml-chefaajpeg,Polyfresh | Eye Drops | 10ml,,47,medication,
67,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/garamycin-01-15-gm-aqnd-01673782657.png,Garamycin | 0.1% Ointment | 15 Gm,,14,medication,
68,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/zovirax-5-topical-cream-10gm-u4mv-01673817086.png,Zovirax | 5% Topical Cream | 10gm,,17.5,medication,
69,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1628594870kenacomb-cream-15gm-chefaajpeg,Kenacomb | Cream | 15gm,,21.5,medication,
70,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/ivyrospan-syrup-01672652091.png,Ivyrospan Syrup | For Cough | 100ml,,37.5,medication,
71,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1628517583fucicort-antimicrobial-cream-15gm-chefaajpeg,Fucicort | Antimicrobial Cream | 15gm,,32,medication,
72,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1628518438fucicort-antimicrobial-cream-30gm-chefaajpeg,Fucicort | Antimicrobial Cream | 30gm,,55.5,medication,
73,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/vidrop-drops-01678611800.png,Vidrop | Oral Drops 2800 I.U./ml Vitamin D3 | 15ml,,16,medication,
74,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/chromitron-30-caps-dtnb-01670841377.png,Chromitron | 30 capsules,,114,medication,
75,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1628168983gynera-contraceptives-21-tabs-chefaapng,Gynera | Contraceptives | 21 Tabs.,,76,medication,
76,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/algesal-suractive-40-gm-cream-qvrh-01669045161.png,Algesal Suractive | Cream | 40gm,,30.5,medication,
77,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/crestor-10mg-28tab-uv50-01669538587.png,Crestor | 10mg | 28Tab,,212,medication,
78,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/dalacin-c-viral-diseases-600mg4ml-1amp-rdqa-1641682038.png,Dalacin C | Viral Diseases | 600 mg/4 ml | 1 Amp,,46,medication,
79,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1594655177panthenol-cream-50gmjpg,Panthenol Cream 50 Gm,,30,medication,
80,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1622552983one-two-three-cold-flu-syrup-120ml-chefaapng,One Two Three | (Cold – Flu) Syrup | 120ml,,19.5,medication,
81,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/trittico-100-mg-20-tab-09ym-01673526486.png,Trittico | 100 Mg | 20 Tablet,,43,medication,
82,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/farcolin-resp-solution-20-ml-zjnn-01668014581.png,Farcolin | 0.121 Gm | 20 Ml,,20.5,medication,
83,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/ezamol-c-20-tab-hk5k-01668008271.png,Ezamol - C | 30mg | 20 Tablet,,14,medication,
84,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/adol-sinus-24-caplets-4zti-01678612271.png,Adol | 500mg | 24 Caplets,,16,medication,
85,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/oplex-n-syrup-125-ml-zrp5-01692114637.png,Oplex-N | Syrup | 125ml,,19,medication,
86,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/duotrav-eye-drops-2-5-ml-rehs-01667475050.png,Duotrav | Eye Drop | 2.5ml,,120,medication,
87,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/erastapex-co-high-blood-pressure-40mg5mg-30tab-7jqc-01665582205.png,Erastapex CO | High Blood Pressure 40/5mg | 30 Tabs,,78,medication,
88,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/coveram-high-blood-pressure-1010mg-15tab-mn3o-01665580042.png,Coveram | High Blood Pressure 10/10mg | 15 Tabs,,114,medication,
89,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/lacovimp-antiepileptic-100mg-30tab-e4mo-01666103097.png,Lacovimp | Antiepileptic | 100 mg | 30 Tab,,292.5,medication,
90,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/predsol-to-treat-allergies-5mg5ml-50ml-susp-e0jp-01666532024.png,Predsol | To Treat Allergies | 5 mg/5 ml | 50 ml Susp,,20.5,medication,
91,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1630921916power-cold-and-flu-20-tabsjpg,Power Cold And Flu | 20 Tab,,25,medication,
92,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/hydroquine-to-treat-bone-pain-200mg-20tab-dmjr-01673129375.png,Hydroquine | To Treat Bone Pain 200mg | 20 Tabs,,40,medication,
93,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/zithromax-500mg-3tab-vi0i-01694446092.png,Zithromax | 500Mg | 3Tab,,85,medication,
94,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/isis-caraway-12bags-fzvx-01656337977.png,Isis | Caraway | 12 Packs,,12,medication,
95,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/isis-anise-12bags-kfug-01656338170.png,Isis | Anise | 12 Packs,,20,medication,
